drug_name,medical_condition,side_effects,generic_name,drug_classes,activity,rx_otc,pregnancy_category,related_drugs
doxycycline,Acne,"(hives, difficult breathing, swelling in your face or throat) or a severe skin reaction (fever, sore throat, burning in your eyes, skin pain, red or purple skin rash that spreads and causes blistering and peeling). Seek medical treatment if you have a serious drug reaction that can affect many parts of your body. Symptoms may include: skin rash, fever, swollen glands, flu-like symptoms, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. This reaction may occur several weeks after you began using doxycycline. Doxycycline may cause serious side effects. Call your doctor at once if you have: severe stomach pain, diarrhea that is watery or bloody; throat irritation, trouble swallowing; chest pain, irregular heart rhythm, feeling short of breath; little or no urination; low white blood cell counts - fever, chills, swollen glands, body aches, weakness, pale skin, easy bruising or bleeding; severe headaches, ringing in your ears, dizziness, nausea, vision problems, pain behind your eyes; loss of appetite, upper stomach pain (that may spread to your back), tiredness, nausea or vomiting, fast heart rate, dark urine, jaundice (yellowing of the skin or eyes). Common side effects of doxycycline may include: nausea and vomiting; upset stomach; loss of appetite; mild diarrhea; skin rash or itching; darkened skin color; vaginal itching or discharge.",doxycycline,Miscellaneous antimalarials|Tetracyclines,87%,RX,D,amoxicillin|prednisone|albuterol|ciprofloxacin|azithromycin|cephalexin|metronidazole|metronidazole topical|clindamycin topical|clindamycin
spironolactone,Acne,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: a light-headed feeling, like you might pass out; little or no urination; high potassium level - nausea , weakness, tingly feeling, chest pain, irregular heartbeats, loss of movement; o signs of other electrolyte imbalances - increased thirst or urination, confusion, vomiting , muscle pain, slurred speech, severe weakness, numbness , loss of coordination, feeling unsteady. Common spironolactone side effects may include: breast swelling or tenderness.",spironolactone,Aldosterone receptor antagonists|Potassium-sparing diuretics,82%,RX,C,amlodipine|lisinopril|losartan|metoprolol|furosemide|hydrochlorothiazide|carvedilol|warfarin|Lasix|bumetanide
minocycline,Acne,"skin rash, fever, swollen glands, flu-like symptoms, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. This may be more likely with long-term use of minocycline, and the reaction may occur several weeks after you began using this medicine. Call your doctor at once if you have: little or no urination, swelling in your feet or ankles, feeling tired or short of breath (signs of kidney problems); loss of appetite, upper stomach pain (that may spread to your back), nausea or vomiting, loss of appetite, easy bruising or bleeding, dark urine, yellowing of the skin or eyes (signs of liver or pancreas problems); joint pain or swelling with fever, swollen glands, muscle aches, chest pain, vomiting, unusual thoughts or behavior, and patchy skin color; severe headaches, ringing in your ears, dizziness, vision problems, pain behind your eyes; or swollen glands, flu symptoms, easy bruising or bleeding, severe tingling or numbness, muscle weakness, chest pain, new or worsening cough with fever, trouble breathing. Common minocycline side effects may include: numbness , tingling, burning pain; hair loss ; discoloration of you skin or nails. dizziness, spinning sensation; muscle or joint pain; nausea, diarrhea, loss of appetite; swollen tongue, cough, trouble swallowing; rash, itching; or headache .",minocycline,Tetracyclines,48%,RX,D,amoxicillin|prednisone|doxycycline|ciprofloxacin|azithromycin|cephalexin|metronidazole|clindamycin topical|Augmentin|dexamethasone
Accutane,Acne,"problems with your vision or hearing; muscle or joint pain, bone pain, back pain; increased thirst, increased urination; hallucinations, (see or hearing things that are not real); symptoms of depression - unusual mood changes, crying spells, feelings of low self-worth, loss of interest in things you once enjoyed, new sleep problems, thoughts about hurting yourself; signs of liver or pancreas problems - loss of appetite, upper stomach pain (that may spread to your back), nausea or vomiting, fast heart rate , dark urine, jaundice (yellowing of the skin or eyes); severe stomach problems - severe stomach or chest pain, pain when swallowing, heartburn , diarrhea , rectal bleeding , bloody or tarry stools; or increased pressure inside the skull - severe headaches, ringing in your ears, dizziness, nausea, vision problems, pain behind your eyes. Common Accutane side effects may include: dryness of your skin, lips, eyes, or nose (you may have nosebleeds ); vision problems; headache, back pain , joint pain, muscle problems; skin reactions; or cold symptoms such as stuffy nose, sneezing, sore throat.",isotretinoin,Miscellaneous antineoplastics|Miscellaneous uncategorized agents,41%,RX,X,doxycycline|clindamycin topical|erythromycin topical|tetracycline|Tazorac
clindamycin,Acne,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Clindamycin topical may cause serious side effects. Stop using clindamycin topical and call your doctor at once if you have: severe redness, itching, or dryness of treated skin areas; or severe stomach pain, diarrhea that is watery or bloody (even if it occurs months after your last dose). Common side effects of clindamycin topical may include: burning, itching, dryness, peeling or redness of treated skin; or oily skin.",clindamycin topical,Topical acne agents|Vaginal anti-infectives,39%,RX,B,doxycycline|metronidazole|metronidazole topical|clindamycin|erythromycin topical|tetracycline|isotretinoin|tinidazole|Cleocin|MetroGel
Aldactone,Acne,"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: a light-headed feeling, like you might pass out; little or no urination; high potassium level - nausea , weakness, tingly feeling, chest pain, irregular heartbeats, loss of movement; o signs of other electrolyte imbalances - increased thirst or urination, confusion, vomiting , muscle pain, slurred speech, severe weakness, numbness , loss of coordination, feeling unsteady. Common Aldactone side effects may include: breast swelling or tenderness.",spironolactone,Aldosterone receptor antagonists|Potassium-sparing diuretics,35%,RX,C,amlodipine|lisinopril|losartan|metoprolol|furosemide|hydrochlorothiazide|carvedilol|spironolactone|Lasix|bumetanide
tretinoin,Acne,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Tretinoin topical may cause serious side effects. Call your doctor at once if you have: severe burning, stinging, or irritation of treated skin; severe skin dryness; or severe redness, swelling, blistering, peeling, or crusting. Your skin may be more sensitive to weather extremes such as cold and wind while using tretinoin topical. Common side effects of tretinoin topical may include: skin pain, redness, burning, itching, or irritation; sore throat ; mild warmth or stinging where the medicine was applied; or changes in color of treated skin.",tretinoin topical,Topical acne agents,30%,RX,C,
isotretinoin,Acne,"problems with your vision or hearing; muscle or joint pain, bone pain, back pain; increased thirst, increased urination; hallucinations, (see or hearing things that are not real); symptoms of depression--unusual mood changes, crying spells, feelings of low self-worth, loss of interest in things you once enjoyed, new sleep problems, thoughts about hurting yourself; signs of liver or pancreas problems--loss of appetite, upper stomach pain (that may spread to your back), nausea or vomiting, fast heart rate , dark urine, jaundice (yellowing of the skin or eyes); severe stomach problems--severe stomach or chest pain, pain when swallowing, heartburn , diarrhea , rectal bleeding , bloody or tarry stools; or increased pressure inside the skull--severe headaches, ringing in your ears, dizziness, nausea, vision problems, pain behind your eyes. Common side effects of isotretinoin may include: dryness of your skin, lips, eyes, or nose (you may have nosebleeds ); vision problems; headache, back pain , joint pain, muscle problems; skin reactions; or cold symptoms such as stuffy nose, sneezing, sore throat.",isotretinoin,Miscellaneous antineoplastics|Miscellaneous uncategorized agents,26%,RX,X,doxycycline|clindamycin topical|erythromycin topical|tetracycline|Tazorac
Bactrim,Acne,"skin rash, fever, swollen glands, joint pain, muscle aches, severe weakness, pale skin, unusual bruising, or yellowing of your skin or eyes. Call your doctor at once if you have: severe stomach pain, diarrhea that is watery or bloody (even if it occurs months after your last dose); any skin rash, no matter how mild; yellowing of your skin or eyes; a seizure; new or unusual joint pain; increased or decreased urination; swelling, bruising, or irritation around the IV needle; increased thirst, dry mouth, fruity breath odor; new or worsening cough, fever, trouble breathing; high blood potassium - nausea , weakness, tingly feeling, chest pain, irregular heartbeats, loss of movement; low blood sodium - headache , confusion, problems with thinking or memory, weakness, feeling unsteady; or low blood cell counts - fever, chills, mouth sores, skin sores, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath. Common Bactrim side effects may include: nausea, vomiting, loss of appetite; or skin rash.",sulfamethoxazole and trimethoprim,Sulfonamides,20%,RX,D,
Retin-A,Acne,"hives; difficult breathing; swelling of your face, lips, tongue, or throat. Stop using Retin-A and call your doctor at once if you have: severe burning, stinging, or irritation of treated skin; severe redness, swelling, blistering, peeling, or crusting; Your skin may be more sensitive to weather extremes such as cold and wind while using this medicine. Common Retin-A side effects may include: mild warmth or stinging where the medicine was applied; or changes in color of treated skin.",Retin-A,Topical acne agents,17%,RX,C,
